Tipo Producto,Nombre Producto,Subproducto,Nombre Subproducto,ID Cliente 2
2,Tarjeta credito Master,29,MASPLAD,10000230838
4,Cuenta de Ahorro,37,RENTA PREMIUM,10000130052
12,Tarjeta Visa,21,VIS INTE AV,10000018999
12,Tarjeta Visa,36,VIS PLAV,10000070165
1,Tarjeta Credito Visa,95,VIS PRI PLAT,10000045471
3,Prestamos,732,Rotativo,10000189455
12,Tarjeta Visa,82,VIS GOR,10000234478
10,Tarjeta Credito Amex,9,STMX,10000312580
1,Tarjeta Credito Visa,96,VIS CL CRO,10000343845
1,Tarjeta Credito Visa,95,VIS PRI PLAT,10000323170
3,Prestamos,756,Unificaciones consumo,10000170649
1,Tarjeta Credito Visa,62,CENS G,10000318717
12,Tarjeta Visa,36,VIS PLAV,10000103740
12,Tarjeta Visa,82,VIS GOR,10000033079
1,Tarjeta Credito Visa,96,VIS CL CRO,10000175948
1,Tarjeta Credito Visa,78,VIS INTE,10000020365
9,TD M Tarjeta Debito Master,589526,MTRO,10000336741
4,Cuenta de Ahorro,1,CUENTA DE AHORROS TRADICIONAL,10000267461
2,Tarjeta credito Master,56,CLAS TP,10000053343
9,TD M Tarjeta Debito Master,525358,MTRO,10000070950
200,Productos Banco SFC,210,Créditos comerciales,10000280453
200,Productos Banco SFC,215,Tarjetas de crédito,10000078234
2,Tarjeta credito Master,3,MC,10000051021
2,Tarjeta credito Master,56,CLAS TP,10000047116
1,Tarjeta Credito Visa,62,CENS G,10000103469
12,Tarjeta Visa,36,VIS PLAV,10000324895
2,Tarjeta credito Master,29,MASPLAD,10000356138
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000133677
2,Tarjeta credito Master,79,OLM,10000259050
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000033105
1,Tarjeta Credito Visa,61,CENS CL,10000110670
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000004065
2,Tarjeta credito Master,58,MGRWDS,10000184635
12,Tarjeta Visa,36,VIS PLAV,10000032811
3,Prestamos,732,Rotativo,10000134714
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000290941
1,Tarjeta Credito Visa,97,VORCL,10000262707
2,Tarjeta credito Master,83,MCLASH,10000160721
12,Tarjeta Visa,36,VIS PLAV,10000208457
2,Tarjeta credito Master,3,MC,10000119318
12,Tarjeta Visa,21,VIS INTE AV,10000225797
1,Tarjeta Credito Visa,69,PRIVCEN,10000307139
2,Tarjeta credito Master,57,ORTEP,10000110795
300,Leasing Productos,6500,Leasing  Habitacional,10000082823
2,Tarjeta credito Master,83,MCLASH,10000224907
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000351410
1,Tarjeta Credito Visa,2,VIS OR,10000099497
1,Tarjeta Credito Visa,2,VIS OR,10000049083
1,Tarjeta Credito Visa,95,VIS PRI PLAT,10000054144
1,Tarjeta Credito Visa,62,CENS G,10000233982
90,No Vinculados,90,no vinculados,10000285632
4,Cuenta de Ahorro,42,CTA AH SAVING ESPECIAL5,10000118460
4,Cuenta de Ahorro,108,CTA AH NOMINA SECRET DIST DE H,10000120129
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000004233
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000032573
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000015470
3,Prestamos,732,Rotativo,10000067561
2,Tarjeta credito Master,58,MGRWDS,10000244264
12,Tarjeta Visa,21,VIS INTE AV,10000112853
12,Tarjeta Visa,36,VIS PLAV,10000023084
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000164747
1,Tarjeta Credito Visa,1,VIS CL,10000104659
3,Prestamos,705,Credicheque (RC) - BAU,10000040616
12,Tarjeta Visa,21,VIS INTE AV,10000018420
12,Tarjeta Visa,21,VIS INTE AV,10000280811
1,Tarjeta Credito Visa,62,CENS G,10000248025
2,Tarjeta credito Master,29,MASPLAD,10000079537
1,Tarjeta Credito Visa,62,CENS G,10000261189
300,Leasing Productos,6500,Leasing  Habitacional,10000150463
2,Tarjeta credito Master,56,CLAS TP,10000164338
12,Tarjeta Visa,21,VIS INTE AV,10000243346
12,Tarjeta Visa,21,VIS INTE AV,10000041248
2,Tarjeta credito Master,7,PLTUM,10000138584
12,Tarjeta Visa,36,VIS PLAV,10000159962
1,Tarjeta Credito Visa,61,CENS CL,10000304297
1,Tarjeta Credito Visa,61,CENS CL,10000025294
90,No Vinculados,90,no vinculados,10000273633
1,Tarjeta Credito Visa,73,VIS SIG,10000098571
1,Tarjeta Credito Visa,96,VIS CL CRO,10000127680
1,Tarjeta Credito Visa,62,CENS G,10000258179
12,Tarjeta Visa,36,VIS PLAV,10000117991
4,Cuenta de Ahorro,33,CUENTA FIEL,10000166886
200,Productos Banco SFC,298,Otros productos de Estab SEDPE,10000182749
5,Cuenta Corriente,51,CUENTA CORRIENTE P.NATURAL,10000116933
5,Cuenta Corriente,51,CUENTA CORRIENTE P.NATURAL,10000120939
5,Cuenta Corriente,81,Cuenta corriente,10000028243
1,Tarjeta Credito Visa,62,CENS G,10000030029
1,Tarjeta Credito Visa,62,CENS G,10000288615
2,Tarjeta credito Master,79,OLM,10000064124
12,Tarjeta Visa,36,VIS PLAV,10000225283
12,Tarjeta Visa,36,VIS PLAV,10000082545
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000005522
300,Leasing Productos,6500,Leasing  Habitacional,10000000208
1,Tarjeta Credito Visa,61,CENS CL,10000110670
2,Tarjeta credito Master,3,MC,10000024948
12,Tarjeta Visa,36,VIS PLAV,10000097086
1,Tarjeta Credito Visa,69,PRIVCEN,10000101915
12,Tarjeta Visa,36,VIS PLAV,10000186734
3,Prestamos,705,Credicheque (RC) - BAU,10000194564
1,Tarjeta Credito Visa,51,VIS INTE CEN,10000041336
300,Leasing Productos,6500,Leasing  Habitacional,10000000254
2,Tarjeta credito Master,76,MBCLR,10000181290
3,Prestamos,230,LIBRE INVERS HIPTECARIO CMCIAL,10000069228
1,Tarjeta Credito Visa,2,VIS OR,10000028362
2,Tarjeta credito Master,3,MC,10000099083
1,Tarjeta Credito Visa,62,CENS G,10000041952
7,CDTS,5,CDT >= 6 Y < 12 PESOS T.F 365,10000133733
12,Tarjeta Visa,36,VIS PLAV,10000254247
2,Tarjeta credito Master,73,Master Clásica Claro,10000279434
1,Tarjeta Credito Visa,60,ORCAF,10000145119
3,Prestamos,705,Credicheque (RC) - BAU,10000195049
4,Cuenta de Ahorro,33,CUENTA FIEL,10000018243
9,TD M Tarjeta Debito Master,525358,MTRO,10000068120
1,Tarjeta Credito Visa,62,CENS G,10000224121
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000027482
3,Prestamos,706,Credicheque (RC) - BALCON,10000140209
1,Tarjeta Credito Visa,62,CENS G,10000234399
2,Tarjeta credito Master,4,MOR,10000263055
9,TD M Tarjeta Debito Master,525358,MTRO,10000283545
12,Tarjeta Visa,36,VIS PLAV,10000005018
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000031345
12,Tarjeta Visa,36,VIS PLAV,10000059025
1,Tarjeta Credito Visa,92,VIS CL LIN,10000022100
1,Tarjeta Credito Visa,97,VORCL,10000311761
4,Cuenta de Ahorro,42,CTA AH SAVING ESPECIAL5,10000113979
1,Tarjeta Credito Visa,61,CENS CL,10000145265
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000054142
1,Tarjeta Credito Visa,95,VIS PRI PLAT,10000258276
4,Cuenta de Ahorro,33,CUENTA FIEL,10000116771
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000338004
12,Tarjeta Visa,59,VIS GA,10000103836
1,Tarjeta Credito Visa,62,CENS G,10000311498
2,Tarjeta credito Master,83,MCLASH,10000237107
2,Tarjeta credito Master,44,MMBL,10000201319
1,Tarjeta Credito Visa,62,CENS G,10000011482
12,Tarjeta Visa,36,VIS PLAV,10000014101
12,Tarjeta Visa,36,VIS PLAV,10000124945
4,Cuenta de Ahorro,33,CUENTA FIEL,10000291274
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000006248
1,Tarjeta Credito Visa,6,PLTUM,10000236173
3,Prestamos,705,Credicheque (RC) - BAU,10000189359
2,Tarjeta credito Master,79,OLM,10000131925
12,Tarjeta Visa,36,VIS PLAV,10000071728
12,Tarjeta Visa,36,VIS PLAV,10000019288
2,Tarjeta credito Master,44,MMBL,10000028510
3,Prestamos,732,Rotativo,10000198893
12,Tarjeta Visa,36,VIS PLAV,10000271175
12,Tarjeta Visa,84,VIS CLS CS,10000256135
12,Tarjeta Visa,36,VIS PLAV,10000215824
12,Tarjeta Visa,36,VIS PLAV,10000199781
2,Tarjeta credito Master,7,PLTUM,10000112117
12,Tarjeta Visa,36,VIS PLAV,10000017612
2,Tarjeta credito Master,79,OLM,10000345732
2,Tarjeta credito Master,90,CASTMP,10000329435
2,Tarjeta credito Master,4,MOR,10000332635
4,Cuenta de Ahorro,1,CUENTA DE AHORROS TRADICIONAL,10000208078
90,No Vinculados,90,no vinculados,10000169833
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000182008
3,Prestamos,741,Libre Inversion,10000301579
12,Tarjeta Visa,84,VIS CLS CS,10000103564
1,Tarjeta Credito Visa,61,CENS CL,10000278831
2,Tarjeta credito Master,74,MASORCL,10000063248
1,Tarjeta Credito Visa,94,VLNCLAS,10000215648
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000141778
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000212605
9,TD M Tarjeta Debito Master,548185,MTRO,10000271848
9,TD M Tarjeta Debito Master,525358,MTRO,10000002539
3,Prestamos,705,Credicheque (RC) - BAU,10000191212
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000156751
2,Tarjeta credito Master,7,PLTUM,10000258807
1,Tarjeta Credito Visa,62,CENS G,10000145156
200,Productos Banco SFC,201,Cuenta de ahorro,10000036621
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000114364
4,Cuenta de Ahorro,33,CUENTA FIEL,10000009484
1,Tarjeta Credito Visa,62,CENS G,10000065848
2,Tarjeta credito Master,83,MCLASH,10000224459
12,Tarjeta Visa,84,VIS CLS CS,10000280318
200,Productos Banco SFC,215,Tarjetas de crédito,10000086627
1,Tarjeta Credito Visa,51,VIS INTE CEN,10000167511
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000016892
1,Tarjeta Credito Visa,94,VLNCLAS,10000252684
3,Prestamos,741,Libre Inversion,10000242593
9,TD M Tarjeta Debito Master,525358,MTRO,10000267771
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000305554
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000120204
1,Tarjeta Credito Visa,62,CENS G,10000228608
4,Cuenta de Ahorro,27,RENTA PREMIUM MAX PERSONA NAT.,10000126864
2,Tarjeta credito Master,10,MASBCK,10000067844
3,Prestamos,705,Credicheque (RC) - BAU,10000192365
1,Tarjeta Credito Visa,62,CENS G,10000213444
3,Prestamos,732,Rotativo,10000195257
2,Tarjeta credito Master,74,MASORCL,10000262033
2,Tarjeta credito Master,73,Master Clásica Claro,10000205819
1,Tarjeta Credito Visa,95,VIS PRI PLAT,10000146661
1,Tarjeta Credito Visa,62,CENS G,10000016186
1,Tarjeta Credito Visa,94,VLNCLAS,10000101498
4,Cuenta de Ahorro,1,CUENTA DE AHORROS TRADICIONAL,10000122579
12,Tarjeta Visa,82,VIS GOR,10000109313
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000110283
3,Prestamos,705,Credicheque (RC) - BAU,10000176919
1,Tarjeta Credito Visa,62,CENS G,10000253034
12,Tarjeta Visa,36,VIS PLAV,10000164725
4,Cuenta de Ahorro,33,CUENTA FIEL,10000132029
3,Prestamos,732,Rotativo,10000193881
12,Tarjeta Visa,36,VIS PLAV,10000021010
12,Tarjeta Visa,36,VIS PLAV,10000315213
12,Tarjeta Visa,36,VIS PLAV,10000296660
12,Tarjeta Visa,36,VIS PLAV,10000063480
12,Tarjeta Visa,36,VIS PLAV,10000057254
1,Tarjeta Credito Visa,91,PRPLAT,10000138931
12,Tarjeta Visa,84,VIS CLS CS,10000202737
3,Prestamos,732,Rotativo,10000171933
1,Tarjeta Credito Visa,62,CENS G,10000320312
1,Tarjeta Credito Visa,94,VLNCLAS,10000026208
1,Tarjeta Credito Visa,70,VIS BAS TEL,10000039769
12,Tarjeta Visa,21,VIS INTE AV,10000069807
12,Tarjeta Visa,36,VIS PLAV,10000306140
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000066849
2,Tarjeta credito Master,44,MMBL,10000345413
3,Prestamos,732,Rotativo,10000200347
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000251990
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000243482
1,Tarjeta Credito Visa,51,VIS INTE CEN,10000056548
1,Tarjeta Credito Visa,62,CENS G,10000009118
12,Tarjeta Visa,21,VIS INTE AV,10000018196
1,Tarjeta Credito Visa,62,CENS G,10000076400
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000015268
7,CDTS,3,CDT < 6 MESES PESOS T.F 365,10000136718
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000088236
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000140738
200,Productos Banco SFC,201,Cuenta de ahorro,10000156193
1,Tarjeta Credito Visa,1,VIS CL,10000186552
4,Cuenta de Ahorro,33,CUENTA FIEL,10000151009
1,Tarjeta Credito Visa,96,VIS CL CRO,10000124066
1,Tarjeta Credito Visa,16,ORVISNM,10000015702
1,Tarjeta Credito Visa,1,VIS CL,10000007545
200,Productos Banco SFC,215,Tarjetas de crédito,10000028025
1,Tarjeta Credito Visa,62,CENS G,10000356577
1,Tarjeta Credito Visa,1,VIS CL,10000227044
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000338110
1,Tarjeta Credito Visa,62,CENS G,10000311911
1,Tarjeta Credito Visa,61,CENS CL,10000046453
4,Cuenta de Ahorro,29,AHORROS PLAN LOGRO,10000116110
3,Prestamos,743,CONSUMO VEHICULO,10000060457
12,Tarjeta Visa,36,VIS PLAV,10000146836
4,Cuenta de Ahorro,33,CUENTA FIEL,10000133744
2,Tarjeta credito Master,3,MC,10000281337
12,Tarjeta Visa,36,VIS PLAV,10000102676
1,Tarjeta Credito Visa,63,VIS CAFN,10000154091
1,Tarjeta Credito Visa,61,CENS CL,10000123347
3,Prestamos,741,Libre Inversion,10000301294
1,Tarjeta Credito Visa,62,CENS G,10000251518
12,Tarjeta Visa,36,VIS PLAV,10000231398
12,Tarjeta Visa,36,VIS PLAV,10000110147
3,Prestamos,741,Libre Inversion,10000301253
1,Tarjeta Credito Visa,62,CENS G,10000029300
4,Cuenta de Ahorro,35,CTA AH RENTAPREMIUM NOMINA,10000025442
3,Prestamos,732,Rotativo,10000196181
1,Tarjeta Credito Visa,61,CENS CL,10000050551
1,Tarjeta Credito Visa,73,VIS SIG,10000069793
2,Tarjeta credito Master,4,MOR,10000177292
1,Tarjeta Credito Visa,96,VIS CL CRO,10000337322
12,Tarjeta Visa,36,VIS PLAV,10000246241
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000006301
2,Tarjeta credito Master,7,PLTUM,10000099972
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000146685
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000029142
4,Cuenta de Ahorro,101,CTA AH MOMENTUM CLASICO2,10000085581
2,Tarjeta credito Master,10,MASBCK,10000006759
12,Tarjeta Visa,36,VIS PLAV,10000058861
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000004019
1,Tarjeta Credito Visa,96,VIS CL CRO,10000037277
3,Prestamos,798,Cartera vendida consumo,10000273644
300,Leasing Productos,6500,Leasing  Habitacional,10000000290
3,Prestamos,732,Rotativo,10000097875
3,Prestamos,705,Credicheque (RC) - BAU,10000193085
2,Tarjeta credito Master,70,PAN,10000244483
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000337388
12,Tarjeta Visa,36,VIS PLAV,10000186594
2,Tarjeta credito Master,58,MGRWDS,10000053786
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000006479
12,Tarjeta Visa,36,VIS PLAV,10000077239
3,Prestamos,230,LIBRE INVERS HIPTECARIO CMCIAL,10000202019
1,Tarjeta Credito Visa,61,CENS CL,10000076031
1,Tarjeta Credito Visa,62,CENS G,10000033931
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000180104
1,Tarjeta Credito Visa,99,VIS SIG CLAS,10000048032
2,Tarjeta credito Master,7,PLTUM,10000265281
1,Tarjeta Credito Visa,99,VIS SIG CLAS,10000090644
2,Tarjeta credito Master,44,MMBL,10000046236
1,Tarjeta Credito Visa,6,PLTUM,10000235603
2,Tarjeta credito Master,29,MASPLAD,10000275023
2,Tarjeta credito Master,4,MOR,10000031174
3,Prestamos,741,Libre Inversion,10000172593
1,Tarjeta Credito Visa,2,VIS OR,10000319782
9,TD M Tarjeta Debito Master,525358,MTRO,10000155146
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000200736
3,Prestamos,732,Rotativo,10000053367
1,Tarjeta Credito Visa,62,CENS G,10000255272
3,Prestamos,741,Libre Inversion,10000179441
12,Tarjeta Visa,36,VIS PLAV,10000037400
1,Tarjeta Credito Visa,94,VLNCLAS,10000209568
1,Tarjeta Credito Visa,1,VIS CL,10000101385
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000013741
1,Tarjeta Credito Visa,6,PLTUM,10000161206
1,Tarjeta Credito Visa,94,VLNCLAS,10000185937
12,Tarjeta Visa,36,VIS PLAV,10000252615
3,Prestamos,732,Rotativo,10000174886
2,Tarjeta credito Master,3,MC,10000346220
1,Tarjeta Credito Visa,96,VIS CL CRO,10000124352
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000118236
9,TD M Tarjeta Debito Master,525358,MTRO,10000085397
12,Tarjeta Visa,21,VIS INTE AV,10000018565
12,Tarjeta Visa,36,VIS PLAV,10000062879
2,Tarjeta credito Master,56,CLAS TP,10000214759
1,Tarjeta Credito Visa,62,CENS G,10000321521
4,Cuenta de Ahorro,127,CTA AH RPRM PRIME2 P.N.,10000060592
200,Productos Banco SFC,215,Tarjetas de crédito,10000024242
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000003904
1,Tarjeta Credito Visa,62,CENS G,10000253396
2,Tarjeta credito Master,4,MOR,10000023550
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000177233
12,Tarjeta Visa,81,VIS GALM,10000262365
1,Tarjeta Credito Visa,2,VIS OR,10000254768
12,Tarjeta Visa,36,VIS PLAV,10000072993
2,Tarjeta credito Master,74,MASORCL,10000145080
4,Cuenta de Ahorro,30,AHORROS CUENTA CONMIGO,10000338464
4,Cuenta de Ahorro,1,CUENTA DE AHORROS TRADICIONAL,10000085256
1,Tarjeta Credito Visa,62,CENS G,10000219310
12,Tarjeta Visa,36,VIS PLAV,10000051849
12,Tarjeta Visa,36,VIS PLAV,10000036217
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000116429
12,Tarjeta Visa,21,VIS INTE AV,10000059458
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000026898
1,Tarjeta Credito Visa,62,CENS G,10000157267
2,Tarjeta credito Master,58,MGRWDS,10000176988
9,TD M Tarjeta Debito Master,547692,TM,10000152908
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000000469
1,Tarjeta Credito Visa,62,CENS G,10000015578
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000352201
3,Prestamos,743,CONSUMO VEHICULO,10000299538
1,Tarjeta Credito Visa,94,VLNCLAS,10000049801
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000234584
1,Tarjeta Credito Visa,62,CENS G,10000211716
1,Tarjeta Credito Visa,78,VIS INTE,10000079392
2,Tarjeta credito Master,30,MASPLRWDS,10000183525
1,Tarjeta Credito Visa,62,CENS G,10000265445
1,Tarjeta Credito Visa,62,CENS G,10000317398
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000257474
12,Tarjeta Visa,59,VIS GA,10000073138
1,Tarjeta Credito Visa,61,CENS CL,10000234006
4,Cuenta de Ahorro,33,CUENTA FIEL,10000339397
12,Tarjeta Visa,36,VIS PLAV,10000019084
3,Prestamos,732,Rotativo,10000302408
12,Tarjeta Visa,36,VIS PLAV,10000209179
12,Tarjeta Visa,36,VIS PLAV,10000204389
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000021510
1,Tarjeta Credito Visa,61,CENS CL,10000228295
1,Tarjeta Credito Visa,94,VLNCLAS,10000101241
1,Tarjeta Credito Visa,62,CENS G,10000101162
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000063844
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000093671
4,Cuenta de Ahorro,33,CUENTA FIEL,10000062539
1,Tarjeta Credito Visa,61,CENS CL,10000067509
1,Tarjeta Credito Visa,94,VLNCLAS,10000250654
2,Tarjeta credito Master,3,MC,10000165725
2,Tarjeta credito Master,7,PLTUM,10000165592
4,Cuenta de Ahorro,3,CUENTA DE AHORROS CHIQUICUENTA,10000303782
2,Tarjeta credito Master,57,ORTEP,10000110468
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000011118
1,Tarjeta Credito Visa,62,CENS G,10000263273
12,Tarjeta Visa,36,VIS PLAV,10000245518
12,Tarjeta Visa,36,VIS PLAV,10000109427
1,Tarjeta Credito Visa,62,CENS G,10000309290
12,Tarjeta Visa,36,VIS PLAV,10000288588
200,Productos Banco SFC,215,Tarjetas de crédito,10000041270
3,Prestamos,741,Libre Inversion,10000001767
4,Cuenta de Ahorro,33,CUENTA FIEL,10000221071
4,Cuenta de Ahorro,30,AHORROS CUENTA CONMIGO,10000129692
4,Cuenta de Ahorro,14,CTA DE AHORRO FISCAL AFC CAPIT,10000006681
1,Tarjeta Credito Visa,87,VISA CLASICA LA W,10000100256
1,Tarjeta Credito Visa,62,CENS G,10000165594
1,Tarjeta Credito Visa,62,CENS G,10000229712
3,Prestamos,743,CONSUMO VEHICULO,10000213209
1,Tarjeta Credito Visa,62,CENS G,10000260939
1,Tarjeta Credito Visa,62,CENS G,10000256774
2,Tarjeta credito Master,3,MC,10000032982
2,Tarjeta credito Master,79,OLM,10000243219
12,Tarjeta Visa,36,VIS PLAV,10000260298
1,Tarjeta Credito Visa,62,CENS G,10000184281
1,Tarjeta Credito Visa,62,CENS G,10000083985
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000016219
4,Cuenta de Ahorro,4,CUENTA DE AHORRO JUNIOR,10000141498
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000207534
12,Tarjeta Visa,21,VIS INTE AV,10000037124
1,Tarjeta Credito Visa,1,VIS CL,10000284092
200,Productos Banco SFC,215,Tarjetas de crédito,10000038231
1,Tarjeta Credito Visa,62,CENS G,10000255519
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000145123
1,Tarjeta Credito Visa,6,PLTUM,10000037994
12,Tarjeta Visa,92,TARJETA DE CRÉDITO,10000265940
2,Tarjeta credito Master,10,MASBCK,10000000917
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000212661
1,Tarjeta Credito Visa,96,VIS CL CRO,10000130385
2,Tarjeta credito Master,4,MOR,10000050879
